frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.request.method,http.host,http.user_agent,http.response.code,dns.qry.name,dns.resp.name,dns.resp.type,dns.resp.ttl,tls.handshake.ciphersuite,tls.handshake.ciphersuite,tls.handshake.session_id,tls.handshake.certificates
99,May 18, 2023 20:44:49.973381047 -03,172.16.0.86,224.0.0.251,,,5353,5353,,,,,_%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local,_googlecast._tcp.local,,,,,,,
100,May 18, 2023 20:44:49.973380325 -03,172.16.7.153,224.0.0.251,,,5353,5353,,,,,,iPad de Pedro._companion-link._tcp.local,47,16,33,4500,,,,
101,May 18, 2023 20:44:49.973379865 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,{"nm":"Redmi Note 9S","as":"[8194]","ip":"64"}._mi-connect._udp.local,,,,,,,
102,May 18, 2023 20:44:50.073292896 -03,0.0.0.0,255.255.255.255,,,68,67,,,,,,,,,,,,
103,May 18, 2023 20:44:50.073687734 -03,172.16.9.21,224.0.0.251,,,5353,5353,,,,,,iPad de Erika Vitoria._device-info._tcp.local,_companion-link._tcp.local,iPad de Erika Vitoria._companion-link._tcp.local,16,12,47,16,33,4500,4500,4500,,,,
104,May 18, 2023 20:44:50.075729833 -03,172.16.0.195,224.0.0.251,,,5353,5353,,,,,,195.0.16.172.in-addr.arpa,A.4.4.E.6.E.E.F.F.F.8.A.0.E.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-181.local,Android-181.local,195.0.16.172.in-addr.arpa,A.4.4.E.6.E.E.F.F.F.8.A.0.E.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-181.local,12,12,1,28,47,12,47,12,47,1,28,120,120,120,120,120,120,120,,,,
105,May 18, 2023 20:44:50.076408748 -03,172.16.9.14,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,_companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,12,41,4500,4500,,,,
106,May 18, 2023 20:44:50.175788594 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,iPad de Pedro._companion-link._tcp.local,,,,,,,
107,May 18, 2023 20:44:50.186452248 -03,172.16.1.51,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_homekit._tcp.local,_sleep-proxy._udp.local,iPad de Erika Vitoria._companion-link._tcp.local,_companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,12,41,4499,4500,,,,
108,May 18, 2023 20:44:50.186454485 -03,172.16.8.133,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,iPad de Erika Vitoria._companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,41,4500,,,,
109,May 18, 2023 20:44:50.186461050 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,iPad de Pedro._companion-link._tcp.local,,,,,,,
